iteration,eval_return,eval_std
0,824.206298828125,153.797119140625
1,1476.707763671875,556.9021606445312
2,3243.65625,521.8765258789062
3,3691.129638671875,6.931704998016357
4,3714.918701171875,6.241626739501953
5,3718.984375,5.437192916870117
6,3707.06103515625,4.817054748535156
7,3710.26513671875,2.520602226257324
8,3720.55712890625,2.319953441619873
9,3719.22705078125,3.7589495182037354
10,3716.17822265625,3.6419761180877686
11,3723.541015625,2.3073625564575195
12,3718.57275390625,5.523431301116943
13,3717.50537109375,4.3588128089904785
14,3713.44873046875,1.0687345266342163
15,3716.88671875,3.2390406131744385
16,3713.760986328125,2.622912645339966
17,3717.103515625,3.567796468734741
18,3722.440673828125,1.8180091381072998
19,3717.42138671875,2.7078235149383545
