iteration,eval_return,eval_std
0,4294.03662109375,608.628173828125
1,4665.30859375,183.3070068359375
2,4750.69970703125,113.0599365234375
3,3941.996826171875,1597.2340087890625
4,4773.9833984375,57.369903564453125
5,4377.18408203125,811.0590209960938
6,4648.97119140625,128.3074188232422
7,4507.05224609375,158.90992736816406
8,4686.5068359375,84.11538696289062
9,4810.5908203125,55.340599060058594
10,4616.0009765625,107.62047576904297
11,4727.50927734375,97.73931884765625
12,4669.1044921875,97.163818359375
13,4692.13671875,140.27743530273438
14,4742.22021484375,51.50355911254883
15,4753.66650390625,25.726511001586914
16,4685.59423828125,49.3673210144043
17,4705.99951171875,75.1734390258789
18,4787.16162109375,40.370418548583984
19,4175.115234375,960.1688842773438
