train_steps,eval_return,eval_std
100,160.15745544433594,182.72901916503906
500,296.1984558105469,177.37869262695312
1000,1946.9404296875,1501.853271484375
2000,2706.320068359375,2301.666015625
5000,5047.11474609375,533.1690673828125
10000,5075.55126953125,259.97125244140625
